"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"KLH","ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-15,7152","-1,4311","38,5441","82,2774","137,9445","-","-"
"HAM","HEDEF PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,5319","34,8877","41,4532","97,0623","105,2073","-","-"
"KGM","KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","6,2320","33,2416","62,3089","103,8658","95,0402","-","-"
"KZL","KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,4254","30,2035","38,6399","93,6684","94,7279","473,2940","1.187,6865"
"RBA","ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,5328","30,9972","38,0363","96,8276","92,9011","420,9226","967,8105"
"RJG","RE-PIE PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,1922","30,4248","38,8509","90,8046","90,7423","-","-"
"NJF","NUROL PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,1194","28,1827","37,1454","88,8823","89,7265","439,2069","-"
"PKF","ATA PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,4940","28,5410","36,2844","87,2714","86,8553","-","-"
"MKG","AKTİF PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","0,0291","27,2010","36,7485","88,1810","85,7342","452,3986","1.178,4846"
"KZU","KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,2361","29,0535","36,9018","85,4841","85,1449","-","-"
"OGD","OYAK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,2331","27,7763","35,6619","84,0861","83,5491","403,5294","952,1004"
"KUT","KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU","Katılım Şemsiye Fonu","2,6495","28,9896","47,3194","93,3163","83,4139","382,5534","-"
"KMF","AZİMUT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-1,0521","26,3045","34,4294","81,4196","83,1059","-","-"
"TCA","ZİRAAT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-2,2208","28,3464","32,7022","85,3621","83,0251","422,3242","1.112,7766"
"GOL","GARANTİ PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,4922","26,6225","34,6255","82,3254","82,8403","-","-"
"TAL","ATLAS PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","-1,0750","26,1890","31,0780","81,8327","79,2886","-","-"
"KKL","ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,7515","11,1068","24,8196","48,9739","55,9310","-","-"
"ZP8","ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,1747","10,4046","23,4969","46,4052","53,5317","-","-"
"NJY","NUROL PORTFÖY BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","3,1243","10,2547","23,0667","46,4562","53,4744","230,4166","-"
"HPH","HEDEF PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,1530","10,2725","22,9978","46,1074","53,2160","-","-"
"NSA","NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON","Serbest Şemsiye Fonu","3,1407","10,2385","23,1633","46,0017","53,0950","-","-"
"PPK","QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,1337","10,3011","23,0178","45,6152","52,5363","-","-"
"EKF","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,2905","10,6625","23,4393","45,9597","52,4308","225,6430","457,2532"
"GKH","GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,1295","10,2067","22,7911","45,1721","51,9501","220,1444","-"
"GPF","GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","3,0081","10,6264","23,1280","47,4542","51,8792","179,4792","341,3259"
"MPK","AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0550","10,0551","22,6295","44,4826","51,2958","204,4186","363,9232"
"GO2","ONE PORTFÖY KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,3758","9,4924","22,9606","45,2539","51,0978","242,4171","-"
"RKV","RE-PIE PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,1318","10,2627","22,5721","44,4344","51,0554","-","-"
"KTR","KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,0478","9,8340","22,3034","44,2273","50,8577","204,9124","336,6654"
"KSK","AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,1375","10,2422","22,9298","44,4173","50,5119","-","-"
"AC1","PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU","Serbest Şemsiye Fonu","3,0591","9,9656","21,9948","43,5166","50,2909","-","-"
"OTK","OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","2,9840","9,5847","22,0445","38,6132","49,5918","133,0951","306,3652"
"PVK","ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,0427","9,9043","21,8111","42,7483","49,3902","203,0298","321,2586"
"MPF","AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0563","10,0527","22,2106","43,1483","49,3595","186,6962","301,0214"
"VFK","ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0316","10,0145","22,2277","42,9937","49,1629","189,8138","306,8752"
"RBT","ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU","Katılım Şemsiye Fonu","3,1944","10,2584","22,3957","42,8634","49,0226","179,2773","280,5967"
"RKS","ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","3,0935","10,1346","22,2364","42,4632","48,0097","-","-"
"KSV","KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","2,9053","9,5789","21,3206","41,5838","47,9202","199,0993","313,7217"
"RBV","ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0251","9,8090","21,6011","41,3556","47,4919","186,2878","299,1440"
"YFV","YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","3,0962","10,0045","22,5310","43,1159","47,4912","172,3066","332,4754"
"ZPG","ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU","Katılım Şemsiye Fonu","2,9642","9,7365","21,5530","41,5162","47,4149","194,3446","339,4684"
"CPU","AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU","Katılım Şemsiye Fonu","-3,2510","8,0861","34,3754","42,7901","47,0593","-","-"
"KLU","KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","2,8922","9,5313","21,2491","40,8893","47,0575","184,1911","-"
"DPK","DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","2,9674","9,7914","21,1875","40,9705","46,9556","186,1303","306,2453"
"SPT","AKTİF PORTFÖY KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,7762","11,2546","25,4784","40,6322","46,9345","-","-"
"GLS","AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU","Katılım Şemsiye Fonu","2,7103","9,3298","21,8776","41,0418","46,9235","197,4441","306,5196"
